,Label,G1,G2,G3,G4,G5
0,lop\_hulpmiddel,3,2,2,-1,-1
1,FAC 1,1,-1,1,-1,-1
2,type\_Background,61,229,47,71,25
3,info\_Third party,3,11,1,8,2
4,STM 3,2,-1,1,-1,1
5,.B455: Inspanningstolerantie,10,2,2,-1,1
6,.B152: Stemming,3,9,6,6,3
7,FAC 4,4,-1,-1,-1,-1
8,stm\_reaction,2,1,5,1,1
9,target,38,96,6,14,3
10,STM 4,4,1,2,-1,-1
11,STM 1,1,2,1,-1,1
12,.D450: Lopen en zich verplaatsen,9,2,6,1,7
13,_,94,254,67,98,37
14,STM 0,-1,1,-1,2,-1
15,FAC 2,-1,1,1,-1,-1
16,disregard\_file,-1,1,3,1,-1
17,INS 3,-1,1,-1,-1,-1
18,INS 1,-1,1,1,-1,-1
19,FAC 3,-1,1,-1,-1,-1
20,STM 2,-1,2,-1,-1,-1
21,type\_Implicit,-1,1,4,1,-1
22,view\_Third party,-1,2,1,-1,-1
23,view\_Patient,-1,1,4,-1,-1
24,FAC 0,-1,1,1,2,-1
25,.D840-859: Beroep en werk,-1,-1,1,-1,-1
26,*,-1,-1,-1,-1,4
